NCAGE,NCAGESD,TOEC,Entity Name,Street (ST1/2),City (CIT),"Post Code, Physical Address (PSC)",Country,ISO (CTR),State/Province (STT),FIPS State (STE),Cage code requested for SAM,Remarks,Date Last Change International,Change Date,Creation Date,Load Date,National,NAC,IDN,BAR,NAI,CPV,UNS,SIC,Voice telephone number (TEL),Telefax number (FAX),Email (EMA),WWW (WWW),Post Office Box Number (POB),"City, Postal Address (PCC)","Post Code, Postal Address (PCS)",Replaced By (RP1-5),NMCRL Reference count
0001Z,A,E,PT.DIRGANTARA INDONESIA,PAJAJARAN 154,BANDUNG,40174,INDONESIA,IDN,JAWA BARAT,,0,,2020-02-10,2020-02-10 09:52:40,2011-09-01 16:01:53,2011-11-10 09:37:40,1,,,,,,,,"+62226040606,+62226031717","+62226003028,+62226054185",pub-rel@indonesia-aerospace.com,www.indonesian-aerospace.com,,BANDUNG,1714 BD,,3377
0002Z,A,E,PT PAL INDONESIA,UJUNG,SURABAYA,60155,INDONESIA,IDN,JAWA TIMUR,,0,,2023-12-20,2023-12-20 09:33:00,2011-12-15 12:20:56,,1,,,,,,,, +62313292275,+62313292530,headoffice@pal.co.id,www.pal.co.id,1134,,,,38
0003Z,A,E,BABEK TNI,JL. BABEK TNI CAKUNG CILINCING,JAKARTA TIMUR,14140,INDONESIA,IDN,JAKARTA,,0,,2019-11-04,2019-11-04 10:48:12,2011-12-13 14:55:36,,1,,,,,,,,"+62214400810,44852116",,,,,,,,291
0004Z,A,E,PABRIK SEPATU INKOPAU PUKADARA,NYUTRAN GG.SUGRIWO MG II/1751,YOGYAKARTA,55151,INDONESIA,IDN,D.I. YOGYAKARTA,,0,,2020-02-10,2020-02-10 10:02:26,2011-12-13 15:06:36,,1,,,,,,,,+62274373014,,inkopau@rad.net.it,,,,,,
0005Z,A,E,PT. LEN INDUSTRI,JL. SOEKARNO HATTA NO. 442 ,BANDUNG,40254,INDONESIA,IDN,JAWA BARAT,,0,,2020-02-10,2020-02-10 10:06:11,2011-12-13 15:12:29,,1,,,,,,,,"+62225202682,5202693,5207204,5226814",+62225202695,marketing@len.co.id,www.len.co.id,,,,,47
0006Z,A,E,PT.PINDAD,JENDERAL GATOT SUBROTO 517,BANDUNG,40285,INDONESIA,IDN,JAWA BARAT,,0,,2025-01-23,2025-01-23 10:47:17,2011-11-10 00:35:03,2011-11-10 09:37:40,1,,,,,,,,+62227312073,+62227301222,sales@pindad.com,www.pindad.com,,,,,764
0007Z,A,E,PT. INKA,JL. YOS SUDARSO NO. 71 ,MADIUN,63122,INDONESIA,IDN,JAWA TIMUR,,0,,2020-02-10,2020-02-10 10:15:04,2011-12-13 15:17:23,,1,,,,,,,,"+62351452271, 452272",+62351452275,sekretariat@inka.co.id,www.inka.co.id,,,,,13
0008Z,A,E,CV. GOENO,JL. ADIL NO. 65 NGUNUT,TULUNG AGUNG,66200,INDONESIA,IDN,JAWA TIMUR,,0,,2013-10-29,2013-10-29 09:06:35,2011-12-13 15:27:59,,1,,,,,,,,035-39016-396302,0355-398005,,,,,,,
0009Z,A,E,CV. MAJU MAPAN,JL. RAYA I / 26 DESA NGUNUT KEC NGUNUT ,TULUNGAGUNG,66200,INDONESIA,IDN,JAWA TIMUR,,0,,2020-02-10,2020-02-10 09:39:48,2011-12-13 15:30:38,,1,,,,,,,,+62355395465,+62355395453,majumapan_cv@yahoo.com,http://majumapan.yolasite.com,,,,,104
0010Z,P,E,FA. SARTIMBUL,DESA. PULO SARI NGUNUT,TULUNG AGUNG,66200,INDONESIA,IDN,JAWA TIMUR,,0,,2014-11-13,2014-11-13 10:14:41,2011-12-13 15:33:26,,1,,,,,,,,"+62 355 39016, 396302",,,,,,,,
0011Z,A,E,PT. PARARONA SEWAKA BENUA,JL. PERTAMINA ING B NO. 32 ,BEKASI,17100,INDONESIA,IDN,JAWA BARAT,,0,,2013-10-29,2013-10-29 09:41:39,2011-12-13 15:39:58,,1,,,,,,,,021-8441084,021-84592774,,,,,,,
0012Z,A,E,LAPALKES DITKESAD,JL. BUNTU MUNJUL ,JAKARTA TIMUR,13720,INDONESIA,IDN,JAKARTA,,0,,2014-11-13,2014-11-13 09:54:42,2011-12-13 15:43:18,,1,,,,,,,,+62 21 8445260,,,,,,,,48
0013Z,P,E,CV. MULIA,JL. RAYA CIOMAS NO. 324 ,BOGOR,16100,INDONESIA,IDN,JAWA BARAT,,0,,2014-11-13,2014-11-13 10:09:47,2011-12-13 15:48:06,,1,,,,,,,,,,,,,,,,
0014Z,A,E,BENGPUSPAL DITPALAD,JL. GATOT SOEBROTO NO.372,BANDUNG,40274,INDONESIA,IDN,JAWA BARAT,,0,,2023-01-30,2023-01-30 10:00:33,2011-12-13 15:49:39,,1,,,,,,,,+62227312373,,,,,,,,
0015Z,A,E,PT. DAHANA,JL RAYA SUBANG CIKAMURANG KM.12 CIBOGO,SUBANG,41285,INDONESIA,IDN,JAWA BARAT,,0,,2020-07-27,2020-07-27 08:18:27,2011-12-13 15:52:01,,1,,,,,,,,+622607423333,+622607423888,corporate@dahana.id,https://dahana.id,,,,,118
0016Z,A,E,PT. PUPUK KALTIM,JL. JAMES SIMANDJUNTAK NO. 1,BONTANG,75313,INDONESIA,IDN,KALIMANTAN TIMUR,,0,,2020-02-10,2020-02-10 09:26:56,2011-12-13 15:57:02,,1,,,,,,,,"+6254841202, 41203","+6254841616, 41626",corsec@pupukkaltim.com,www.pupukkaltim.com,,,,,
0017Z,A,E,PT. MULTI NITROMA KIMIA,JL. JEND. SUDIRMAN KAV. 52-53 LOT 9 ,JAKARTA,12190,INDONESIA,IDN,DKI. JAKARTA,,0,,2013-05-13,2013-05-13 09:07:27,2011-12-13 15:59:10,,1,,,,,,,,+622129035022,+622129035021,info@mnk.co.id,http://www.mnk.co.id,,,,,
0018Z,A,E,PT. ARMINDO PRIMA,"KOMPLEK GADING BUKIT INDAH BLOK B-26,JL. BUKIT GADING RAYA, KELAPA GADING",JAKARTA,14240,INDONESIA,IDN,DKI. JAKARTA,,0,,2019-10-29,2019-10-29 14:22:35,2011-12-13 16:00:58,,1,,,,,,,,+622145841330 ,+62214513903,info@armindoprima.co.id,www.armindoprima.co.id,,,,,
0019Z,A,E,PT. TRIDAYA ESTA,"JL.RAYA DARMAWANGSA VII 7 MELAWAI, KEBAYORAN BARU",JAKARTA SELATAN,12160,INDONESIA,IDN,DKI JAKARTA,,0,,2019-10-29,2019-10-29 14:26:04,2011-12-13 16:02:15,,1,,,,,,,,+62217202143,+62217208771,,,,,,,
0020Z,A,E,PT. PETROKIMIA GRESIK,JL. JENDERAL AHMAD YANI GRESIK,GRESIK,61119,INDONESIA,IDN,JAWA TIMUR,,0,,2020-02-10,2020-02-10 10:19:57,2011-12-13 16:04:45,,1,,,,,,,,"+62313982100,3982200,3981811",+62313981722,pg@petrokimia-gresik.com,https://petrokimia-gresik.com,,,,,
0021Z,A,E,PT. INDUSTRI SODA INDONESIA,JL.RAYA WARU 31 WARU SIDOARJO ,SURABAYA,61256,INDONESIA,IDN,JAWA TIMUR,,0,,2014-02-24,2014-02-24 08:28:05,2011-12-13 16:07:59,,1,,,,,,,,"+62 31 8532817, 8532580 ",+62 31 8534869,,,,,,,
0022Z,A,E,PT. INDARAYANA PORSEA,"KOMPL IIU PORSEA, PORSEA",MEDAN,22384,INDONESIA,IDN,SUMATRA UTARA,,0,,2013-05-13,2013-05-13 10:32:21,2011-12-13 16:11:26,,1,,,,,,,,+62 632 41279,,,,,,,,
0023Z,A,E,PT. CITRA TUBINDO,JL. HANG KESTURI KM. 4 KABIL INDUSTRIAL ESTATE,BATAM,29435,INDONESIA,IDN,KEPULAUAN RIAU,,0,,2019-11-04,2019-11-04 08:07:28,2011-12-13 16:14:23,,1,,,,,,,,+62778711121-23,+62788711094,,,,,,,
0024Z,A,E,PT. BOMA BISMA INDRA,JL. JENDERAL GATOT SUBROTO KAV 54 TL 77,JAKARTA SELATAN,12930,INDONESIA,IDN,JAKARTA,,0,,2019-11-04,2019-11-04 08:11:17,2011-12-13 16:17:53,,1,,,,,,,,+622152922289,+622152922289,,http://ptbbi.co.id,,,,,
0025Z,A,E,PT. MASPION,"DESA SAWOTRATAP, GEDANGAN ",SIDOARJO,61254,INDONESIA,IDN,JAWA TIMUR,,0,,2020-02-10,2020-02-10 11:02:58,2011-12-13 16:40:09,,1,,,,,,,,+62318531531,+62318543350,mspunit1@maspion.com,https://maspion.com,,,,,
0026Z,A,E,PT. TELAGA HERANG,"JL. RAYA JAKARTA BOGOR KM. 52, CIBULUH",BOGOR,16710,INDONESIA,IDN,JAWA BARAT,,0,,2013-10-30,2013-10-30 10:50:19,2011-12-13 16:43:02,,1,,,,,,,,+62251 8652474,+62251 8650384,,www.yahoo.co.id,,,,,
